Year,Emissions
1990,1521.4093070491906
1991,1474.768477525312
1992,1533.7711657142563
1993,1570.2327367817377
1994,1624.573435440636
1995,1659.150243290916
1996,1714.6254241046504
1997,1740.5453790911165
1998,1782.7342128860737
1999,1853.6953956870984
2000,1903.820514708604
2001,1875.5125466880063
2002,1916.2920247462555
2003,1923.7646126938848
2004,1956.2719095351983
2005,1966.012693635266
2006,1966.4303268993608
2007,1967.245624506835
2008,1863.5018959140928
2009,1789.0692622486972
2010,1795.1757312469435
2011,1762.312340729498
2012,1743.4536759020018
2013,1746.5883179263697
2014,1780.757322563179
2015,1789.1360093909502
2016,1824.0967832233955
2017,1841.5520415390504
2018,1871.2940227690035
2019,1874.27448810898
2020,1624.943270527236
2021,1804.3053003963105
